name,breed,rare_gen,price,description,region,date,image_url
Палевые щенки лабрадора,Лабрадор ретривер,False,50000,"К продаже предлагаются палевые щенки лабрадора .Дата рождения 15.06.2024 От титулованной пары. На момент переезда дети будут иметь документы РКФ, прививки по возрасту. Дети несут Английские линии питомника Rocheby. По вопросам обращаться по телефону, привет...",Липецк,21.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/e8/13/f9/666545_130x130.jpg
Той пудель,Той пудель,False,85000,"Продаются щеночки той пуделя. Без брака, окрас рэд браун, предположительный рост в стандарте той- пуделя. Будут продаваться в начале августа после прививок. Мальчик и девочка.",Санкт-Петербург,15.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/c3/cb/84/665909_130x130.jpg
Французский бульдог,Не указано,False,40000,"Щенки французского бульдога, мальчики и девочки. Привиты готовы к переезду, документы СКОР. Родились 07.05.2024 Возможна доставка в другие регионы",Новосибирск,15.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/cc/15/85/665916_130x130.jpg
Продам щенка спаниэль,Кавалер кинг чарльз спаниель,False,800000,"Породистый щенок 10 месяцев кавальер кинг чарльз спаниэль, есть родословная, знаменитые родители. Прививки сделаны, очень добрый, зовут Оливер. К улице приучен.",Санкт-Петербург,14.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/ca/99/ee/665887_130x130.jpg
Продам щенка спаниэль,Кавалер кинг чарльз спаниель,False,800000,"Породистый щенок 10 месяцев кавальер кинг чарльз спаниэль, есть родословная, знаменитые родители. Прививки сделаны, очень добрый, зовут Оливер. К улице приучен.",Санкт-Петербург,14.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/1d/f5/82/665892_130x130.jpg
Той-пудель 3 месяца РКФ,Той пудель,False,70000,"Продам той пуделя рэдбраун кобель. Щенок проглистогонен, прививки Мультикан сделаны по возрасту, актировка пройдена. Документы РКФ + клеймо + миНИМУМ/ мультикан 4 + приучен к пеленке. Кушает сухой корм Про план (ягненок/ лосось) день рождения 14 апреля. Щено...",Уфа,13.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/a8/d2/f0/665782_130x130.jpg
Той-пудель 3 месяца РКФ,Той пудель,False,70000,"Продам той пуделя рэдбраун кобель. Щенок проглистогонен, прививки Мультикан сделаны по возрасту, актировка пройдена. Документы РКФ + клеймо + миНИМУМ/ мультикан 4 + приучен к пеленке. Кушает сухой корм Про план (ягненок/ лосось) день рождения 14 апреля. Щено...",Уфа,13.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/0f/fa/eb/665783_130x130.jpg
Померанский шпиц той,Померанский шпиц,False,60000,"Очаровательный кобель померанец Teddi Bir, д. р. 15.04.2024г. Пушистый, ласковый, игривый. Цвет получился очень красивый крем-соболь. Документы РКФ, прививки по возрасту, клеймо. Мама чемпион России, чемпион РКФ",Москва,13.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/96/b2/81/665594_130x130.jpg
Robdzr,Харьер (Бигль),False,58891,"In today's rapid world, staying informed about the latest developments both locally and globally is more vital than ever. With a plethora of news outlets struggling for attention, it's important to find a trusted source that provides not just news, but perspec...",Тюмень,12.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/5d/9b/_110x110.jpg
Ксоло,Не указано,False,100000,"❗️Мы предлагаем замечательных щенков породы КСОЛО 3 девочки и 1 мальчик❗️ Размер: стандарт. Дата рождения: 07 мая 2024г. Документы РКФ/ФЦИ, прививки по возрасту, клеймо! Малыши от титулованных родителей",Не указано,11.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/60/c2/3e/665316_130x130.jpg
Robkra,Померанский шпиц,False,57244,"In today's rapid world, staying informed about the latest updates both locally and globally is more essential than ever. With a plethora of news outlets struggling for attention, it's important to find a dependable source that provides not just news, but analy...",Волгоград,09.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/5d/9b/_110x110.jpg
Robawx,Вельштерьер,False,52668,"In today's fast-paced world, staying informed about the latest developments both locally and globally is more vital than ever. With a plethora of news outlets competing for attention, it's important to find a reliable source that provides not just news, but in...",Петрозаводск,09.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/5d/9b/_110x110.jpg
Щенки бернского зенненхунда продаются,Бернский зенненхунд,False,80000,"Питомник &laquoКВИТ ОУНЛИ'С&raquo предлагает замечательных щенков бернского зенненхунд, рождения 21 мая 2024 г. Отец Чемпион России, РКФ SEREBRYANAYA PODKOVA DOBRYNYA Мать: Юный Чемпион России, РКФ SADRIYA ITENEL Дополнительные фото, видео предоставим. П...",Санкт-Петербург,07.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/4e/3e/664827_130x130.jpg
"Щенки скотч терьера, мальчик!",Шотландский терьер (скотч-терьер),False,120000,,Москва,06.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/62/a7/f4/664822_130x130.jpg
Лабрадор Сэм (мальчик) в возрасте 2 лет,Лабрадор ретривер,False,N/A,"В организацию по отлову бродячих животных позвонила женщина, попросила забрать собаку, муж ушел на СВО а сама беременна на последнем сроке, сидел на цепи времени ухаживать нет&hellip сообщили мне эту историю&hellip С самого утра не спокойно на душе&hell...",Не указано,05.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/5d/9b/_110x110.jpg
Щенки кавалер кинг чарльз спаниель,Кавалер кинг чарльз спаниель,False,165000,г. Москва,Москва,04.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/8a/8e/1a/664588_130x130.jpg
Щенок самоеда,Не указано,False,70000,"Питомник Belaya Charodeyka ( Белая Чародейка) предлагает щенка самоеда ( мальчик ) от титулованной пары . От 65000 руб. Родились 22.04.24. Родители - очень красивая пара из ведущего питомника, имеют проверку здоровья , папа имеет обязательное тестирован...",Не указано,03.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/b6/f8/a5/664558_130x130.jpg
Robltb,Левретка (итальянская левретка),False,51937,"In today's fast-paced world, staying informed about the latest developments both domestically and globally is more vital than ever. With a plethora of news outlets competing for attention, it's important to find a dependable source that provides not just news,...",Петрозаводск,03.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/5d/9b/_110x110.jpg
Robfvm,Левретка (итальянская левретка),False,52320,"In today's fast-paced world, staying informed about the latest advancements both domestically and globally is more crucial than ever. With a plethora of news outlets competing for attention, it's important to find a trusted source that provides not just news, ...",Серпухов,02.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/5d/9b/_110x110.jpg
Английский бульдог,Английский бульдог,False,120000,"4 мальчика и 1 девочка Прививки: сделаны все, готовы к переезду после 26.06.24г. Документы: РКФ Мама и папа: призеры, титулованы Помощь в выращивании квалифицированного кинолога и ветеринара на весь период жизни щенка ) Только к понимающим породу людям , ...",Москва,01.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/5c/88/28/664480_130x130.jpg
Щенки Сиба-Ину,Сиба-ину,False,80000,"Предлагаются для раннего бронирования щенки Сиба-Ину от титулованных родителей. Родились 28.05.2024. Литера &quotУ&quot Свободны 1 мальчик и 2 девочки. На фото щенкам 1 месяц Папа Интерчемпион, Чемпион 5 стран, продолжает выставочную карьеру Мама Гранд ...",Москва,01.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/0d/78/17/664486_130x130.jpg
Бигль,Бигль,False,70000,"Продам щенка 5 месяцев, привит, проглистован, с клеймом, с документами, корм на 4 месяца, приучен к пеленке, с принадлежностями (ошейник, поводок, пеленки, лежанка, вольер и т.д.). Брали себе, но дочь поступает и смотреть не кому. Щенку надо много внимания. Ак...",Москва,30.06.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2c/97/98/664461_130x130.jpg
Robgdo,Немецкая короткошерстная легавая (Курцхаар),False,58685,"In today's rapid world, staying informed about the latest developments both domestically and globally is more essential than ever. With a plethora of news outlets competing for attention, it's important to find a trusted source that provides not just news, but...",Сургут,28.06.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/5d/9b/_110x110.jpg
Продаются щенки породистые,Не указано,False,100000,Продаются щенки породистые тазы,Не указано,27.06.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/5d/9b/_110x110.jpg
Щенки Ка де бо,Мастиф,False,65000,‼️На продажу щенки,Санкт-Петербург,26.06.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/06/e1/00/664107_130x130.jpg
Щенки Ка де бо,Мастиф,False,65000,Питомник Фром Хаус Ирен,Санкт-Петербург,26.06.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/ce/6a/19/664114_130x130.jpg
Щенки Ка де бо,Мастиф,False,65000,Питомник Фром Хаус Ирен,Санкт-Петербург,26.06.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/d5/4d/42/664119_130x130.jpg
